Country.or.area,ISO.Code,Country.Letter.Code,Region.Code,Region,Major.area.Code,Major.area,Developed.region,Less.Developed.Regions,Least.developed.country,Less.developed.regions..excluding.least.developed.countries,Total.population.of.less.than.90.000.by.mid.2015,FP2020.country,Sexual.activity.among.unmarried,Sub.SaharanAfrica,WPP.small.country,WCU.data,Land.Locked.Developing.Countries..LLDC.,Small.Island.Developing.States..SIDS.
Tonga,776,TON,61,Polynesia,9,Oceania,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Trinidad and Tobago,780,TTO,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Tunisia,788,TUN,15,Northern Africa,2,Africa,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
Turkey,792,TUR,145,Western Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
Turkmenistan,795,TKM,143,Central Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,Yes,No
Tuvalu,798,TUV,61,Polynesia,9,Oceania,No,Yes,Yes,No,Yes,No,1,No,Yes,Yes,No,Yes
Uganda,800,UGA,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,No
Ukraine,804,UKR,151,Eastern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
United Arab Emirates,784,ARE,145,Western Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
United Kingdom of Great Britain and Northern Ireland,826,GBR,154,Northern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
United Republic of Tanzania,834,TZA,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
United States of America,840,USA,21,Northern America,21,Northern America,Yes,No,No,No,No,No,1,No,No,Yes,No,No
United States Virgin Islands,850,VIR,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Uruguay,858,URY,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Uzbekistan,860,UZB,143,Central Asia,142,Asia,No,Yes,No,Yes,No,Yes,0,No,No,Yes,Yes,No
Vanuatu,548,VUT,54,Melanesia,9,Oceania,No,Yes,Yes,No,No,No,1,No,No,Yes,No,Yes
Venezuela (Bolivarian Republic of),862,VEN,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Viet Nam,704,VNM,35,South-eastern Asia,142,Asia,No,Yes,No,Yes,No,Yes,0,No,No,Yes,No,No
Yemen,887,YEM,145,Western Asia,142,Asia,No,Yes,Yes,No,No,Yes,0,No,No,Yes,No,No
Zambia,894,ZMB,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,No
Zimbabwe,716,ZWE,14,Eastern Africa,2,Africa,No,Yes,No,Yes,No,Yes,1,Yes,No,Yes,Yes,No
Northern Mariana Islands,580,MNP,57,Micronesia,9,Oceania,No,Yes,No,Yes,Yes,No,1,No,Yes,Yes,No,Yes
